YWHAH	14-3-3 protein eta
EXT2	Exostosin-2
XPO4	Exportin-4
XPO5	Exportin-5
XPO7	Exportin-7
ESYT2	Extended synaptotagmin-2
PKDCC	Extracellular tyrosine-protein kinase PKDCC
SUPT16H	FACT complex subunit SPT16
CAPZA1	F-actin-capping protein subunit alpha-1
FANCC	Fanconi anemia group C protein
BRIP1	Fanconi anemia group J protein
KHSRP	Far upstream element-binding protein 2
FADD	FAS-associated death domain protein
FASTKD1	FAST kinase domain-containing protein 1
FASTKD2	FAST kinase domain-containing protein 2
FABP5	Fatty acid-binding protein, epidermal
FBXL3	F-box/LRR-repeat protein 3
FBXL8	F-box/LRR-repeat protein 8
FERMT2	Fermitin family homolog 2
FERMT3	Fermitin family homolog 3
FARP1	FERM, RhoGEF and pleckstrin domain-containing protein 1
FARP2	FERM, RhoGEF and pleckstrin domain-containing protein 2
FDXACB1	Ferredoxin-fold anticodon-binding domain-containing protein 1
FGFR1OP	FGFR1 oncogene partner
FHOD1	FH1/FH2 domain-containing protein 1
FGF2	Fibroblast growth factor
FGFBP3	Fibroblast growth factor-binding protein 3
FGFR3	Fibroblast growth factor receptor
FNDC3A	Fibronectin type-III domain-containing protein 3A
FBRSL1	Fibrosin-1-like protein
FLNA	Filamin-A
FLNB	Filamin-B
FBLIM1	Filamin-binding LIM protein 1
FOXM1	Forkhead box protein M1
FOXN2	Forkhead box protein N2
FOXN3	Forkhead box protein N3
FOXO3	Forkhead box protein O3
FMNL3	Formin-like protein 3
FOSL1	Fos-related antigen 1
FZD9	Frizzled-9
FAH	Fumarylacetoacetase
FURIN	Furin
FYCO1	FYVE and coiled-coil domain-containing protein 1
FGD2	FYVE, RhoGEF and PH domain-containing protein 2
GAL3ST2	Galactose-3-O-sulfotransferase 2
LGALS3	Galectin
LGALS1	Galectin-1
GABARAPL1	Gamma-aminobutyric acid receptor-associated protein-like 1
GABBR1	Gamma-aminobutyric acid type B receptor subunit 1
GGT1	Gamma-glutamyltranspeptidase 1
GDAP1	Ganglioside-induced differentiation-associated protein 1
GDI1	GDP dissociation inhibitor 1, isoform CRA a
GMDS	GDP-mannose 4,6 dehydratase
GEMIN5	Gem-associated protein 5
GMNN	Geminin
GTF3C1	General transcription factor 3C polypeptide 1
GTF3C6	General transcription factor 3C polypeptide 6
GTF2E1	General transcription factor IIE subunit 1
GTF2F2	General transcription factor IIF subunit 2
GTF2I	General transcription factor II-I
GNPNAT1	Glucosamine 6-phosphate N-acetyltransferase
G6PC3	Glucose-6-phosphatase 3
GRIK1	Glutamate receptor ionotropic, kainate 1
GRIN2C	Glutamate receptor ionotropic, NMDA 2C
GRWD1	Glutamate-rich WD repeat-containing protein 1
GLS2	Glutaminase 2 (Liver, mitochondrial), isoform CRA d
NADSYN1	Glutamine-dependent NAD(+) synthetase
GFPT2	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2
GLUL	Glutamine synthetase
QARS	Glutamine--tRNA ligase
GLRX3	Glutaredoxin-3
GPX3	Glutathione peroxidase
GPX4	Glutathione peroxidase
GSTZ1	Glutathione transferase zeta 1 (Maleylacetoacetate isomerase), isoform CRA c
GLYCTK	Glycerate kinase
GPAT2	Glycerol-3-phosphate acyltransferase 2, mitochondrial
GDE1	Glycerophosphodiester phosphodiesterase 1
GDPD5	Glycerophosphodiester phosphodiesterase domain-containing protein 5
GATM	Glycine amidinotransferase, mitochondrial
CGA	Glycoprotein hormones alpha chain
GTDC1	Glycosyltransferase-like domain-containing protein 1
NMT1	Glycylpeptide N-tetradecanoyltransferase 1
GPC1	Glypican-1
GMPS	GMP synthase [glutamine-hydrolyzing]
TVP23A	Golgi apparatus membrane protein TVP23 homolog
GOPC	Golgi-associated PDZ and coiled-coil motif-containing protein
GOLIM4	Golgi integral membrane protein 4
GOLGA7	Golgin subfamily A member 7
GOLGA7B	Golgin subfamily A member 7B
GOLGA8A	Golgin subfamily A member 8A
GOLGA8B	Golgin subfamily A member 8B
ACBD3	Golgi resident protein GCP60
GET4	Golgi to ER traffic protein 4 homolog
GPATCH2L	G patch domain-containing protein 2-like
PIGV	GPI mannosyltransferase 2
PIGZ	GPI mannosyltransferase 4
GPR107	G protein-coupled receptor 107, isoform CRA c
GPR15	G-protein coupled receptor 15
GPR35	G-protein coupled receptor 35
GPR56	G-protein coupled receptor 56
GPR87	G-protein coupled receptor 87
GRK4	G protein-coupled receptor kinase 4
GPRIN1	G protein-regulated inducer of neurite outgrowth 1
GPSM1	G-protein-signaling modulator 1
GPSM3	G-protein-signaling modulator 3
GRAMD1B	GRAM domain-containing protein 1B
CSF2	Granulocyte-macrophage colony-stimulating factor
GNLY	Granulysin
GAB3	GRB2-associated-binding protein 3
GRIPAP1	GRIP1-associated protein 1
GADD45B	Growth arrest and DNA damage-inducible protein GADD45 beta
GRPEL1	GrpE protein homolog 1, mitochondrial
TDG	G/T mismatch-specific thymine DNA glycosylase
GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1
HRAS	GTPase HRas
GTPBP1	GTP-binding protein 1
GTPBP2	GTP-binding protein 2
GEM	GTP-binding protein GEM
SAR1A	GTP-binding protein SAR1a
GCH1	GTP cyclohydrolase 1
GNG12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12
GNG4	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4
GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2
GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha
GNAS	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
GNA11	Guanine nucleotide-binding protein subunit alpha-11
GNA15	Guanine nucleotide-binding protein subunit alpha-15
GNG2	Guanine nucleotide-binding protein subunit gamma
RABIF	Guanine nucleotide exchange factor MSS4
VAV2	Guanine nucleotide exchange factor VAV2
HDDC3	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1
GBP3	Guanylate-binding protein 3
DKC1	H/ACA ribonucleoprotein complex subunit 4
HAUS7	HAUS augmin-like complex subunit 7
HAUS8	HAUS augmin-like complex subunit 8
TBXAS1	HCG14925, isoform CRA b
GPR108	HCG1811164, isoform CRA c
PDCD6	HCG1985580, isoform CRA c
ADAT3	HCG22695, isoform CRA a
PDXK	HCG401289, isoform CRA b
HSP90AB1	Heat shock protein HSP 90-beta
HN1L	Hematological and neurological-expressed 1-like protein
HN1	Hematological and neurological-expressed 1 protein
HMOX2	Heme oxygenase 2
HGSNAT	Heparan-alpha-glucosaminide N-acetyltransferase
HLF	Hepatic leukemia factor
MET	Hepatocyte growth factor receptor
HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate
HDGF	Hepatoma-derived growth factor
HDGFRP3	Hepatoma-derived growth factor, related protein 3, isoform CRA a
HPS6	Hermansky-Pudlak syndrome 6 protein
HP1BP3	Heterochromatin protein 1-binding protein 3
HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1
HNRNPA1L2	Heterogeneous nuclear ribonucleoprotein A1-like 2
HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3
HNRNPK	Heterogeneous nuclear ribonucleoprotein K
SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q
HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1
HNRNPU	Heterogeneous nuclear ribonucleoprotein U
HK1	Hexokinase-1
SLC7A1	High affinity cationic amino acid transporter 1
HDLBP	High density lipoprotein binding protein (Vigilin), isoform CRA a
HMGN3	High mobility group nucleosome-binding domain-containing protein 3
HMGB3	High mobility group protein B3
HMGA1	High mobility group protein HMG-I/HMG-Y
HRH1	Histamine H1 receptor
HRH4	Histamine H4 receptor
HDC	Histidine decarboxylase
KAT2B	Histone acetyltransferase KAT2B
RBBP4	Histone-binding protein RBBP4
ASF1B	Histone chaperone ASF1B
HDAC3	Histone deacetylase 3
HIST1H1C	Histone H1.2
MYSM1	Histone H2A deubiquitinase MYSM1
HIST1H2BC	Histone H2B
KMT2B	Histone-lysine N-methyltransferase 2B
EHMT2	Histone-lysine N-methyltransferase EHMT2
DOT1L	Histone-lysine N-methyltransferase, H3 lysine-79-specific
WHSC1	Histone-lysine N-methyltransferase NSD2
SETD1B	Histone-lysine N-methyltransferase SETD1B
SETD7	Histone-lysine N-methyltransferase SETD7
SETDB2	Histone-lysine N-methyltransferase SETDB2
SUV420H1	Histone-lysine N-methyltransferase SUV420H1
HLA-F	HLA class I histocompatibility antigen, alpha chain F
HLA-DRB5	HLA class II histocompatibility antigen, DR beta 5 chain
CD74	HLA class II histocompatibility antigen gamma chain
HMGXB3	HMG domain-containing protein 3
CUX1	Homeobox protein cut-like 1
EN2	Homeobox protein engrailed-2
HOXB2	Homeobox protein Hox-B2
HIPK2	Homeodomain-interacting protein kinase 2
HOPX	Homeodomain-only protein
HOMER3	Homer protein homolog 3
HYAL2	Hyaluronidase-2
IER2	Immediate early response gene 2 protein
IRGQ	Immunity-related GTPase family Q protein
IPO4	Importin-4
IPO5	Importin-5
IPO7	Importin-7
KPNA2	Importin subunit alpha-1
KPNA4	Importin subunit alpha-3
KPNA3	Importin subunit alpha-4
KPNA1	Importin subunit alpha-5
KPNB1	Importin subunit beta-1
TTLL10	Inactive polyglycylase TTLL10
TEX14	Inactive serine/threonine-protein kinase TEX14
VRK3	Inactive serine/threonine-protein kinase VRK3
INMT	Indolethylamine N-methyltransferase
ING1	Inhibitor of growth protein 1
ING2	Inhibitor of growth protein 2
ING5	Inhibitor of growth protein 5
INO80E	INO80 complex subunit E
ITPRIPL2	Inositol 1,4,5-trisphosphate receptor-interacting protein-like 2
ITPR2	Inositol 1,4,5-trisphosphate receptor type 2
ITPR3	Inositol 1,4,5-trisphosphate receptor type 3
ITPK1	Inositol-tetrakisphosphate 1-kinase
ITM2C	Integral membrane protein 2C
INTS6	Integrator complex subunit 6
INTS7	Integrator complex subunit 7
ITGA1	Integrin alpha-1
ITGA5	Integrin alpha-5
ITGAL	Integrin alpha-L
ITGB7	Integrin beta
ILK	Integrin-linked protein kinase
ITIH3	Inter-alpha-trypsin inhibitor heavy chain H3
ICAM1	Intercellular adhesion molecule 1
ICAM3	Intercellular adhesion molecule 3
ICAM5	Intercellular adhesion molecule 5
IFNGR2	Interferon gamma receptor 2
EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase
IFI44	Interferon-induced protein 44
IFI44L	Interferon-induced protein 44-like
IFITM2	Interferon-induced transmembrane protein 2
AIM2	Interferon-inducible protein AIM2
IRF2BP2	Interferon regulatory factor 2-binding protein 2
IRF2BPL	Interferon regulatory factor 2-binding protein-like
IRF7	Interferon regulatory factor 7
IFRD2	Interferon-related developmental regulator 2
IL12RB1	Interleukin-12 receptor subunit beta-1
IL12A	Interleukin-12 subunit alpha
IL15RA	Interleukin-15 receptor subunit alpha
IL17F	Interleukin-17F
IL17RC	Interleukin-17 receptor C
IL17RE	Interleukin 17 receptor E, isoform CRA c
IL18R1	Interleukin-18 receptor 1
IL19	Interleukin-19
IL1A	Interleukin-1 alpha
IRAK1	Interleukin-1 receptor-associated kinase 1
IRAK2	Interleukin-1 receptor-associated kinase-like 2
IL1RL2	Interleukin-1 receptor-like 2
IL2	Interleukin-2
IL21	Interleukin-21
IL22	Interleukin-22
IL23R	Interleukin-23 receptor
IL23A	Interleukin-23 subunit alpha
IL26	Interleukin-26
IL27RA	Interleukin-27 receptor subunit alpha
IL2RA	Interleukin-2 receptor subunit alpha
IL31	Interleukin-31
IL32	Interleukin-32
IL6R	Interleukin-6 receptor subunit alpha
IL7	Interleukin-7
KCNN4	Intermediate conductance calcium-activated potassium channel protein 4
IFFO2	Intermediate filament family orphan 2
HABP4	Intracellular hyaluronan-binding protein 4
IQCG	IQ domain-containing protein G
IQSEC1	IQ motif and SEC7 domain-containing protein 1
IRX5	Iroquois-class homeodomain protein IRX-5
ISOC1	Isochorismatase domain-containing protein 1
ISOC2	Isochorismatase domain-containing protein 2
IDH2	Isocitrate dehydrogenase [NADP], mitochondrial
IVD	Isovaleryl-CoA dehydrogenase, mitochondrial
ITIH4	ITIH4 protein
JAKMIP1	Janus kinase and microtubule-interacting protein 1
JRK	Jerky homolog (Mouse), isoform CRA b
KDM5B	Jumonji, AT rich interactive domain 1B (RBP2-like), isoform CRA a
AMICA1	Junctional adhesion molecule-like
KANSL1L	KAT8 regulatory NSL complex subunit 1-like protein
KANSL3	KAT8 regulatory NSL complex subunit 3
KATNBL1	KATNB1-like protein 1
KLHL31	Kelch-like protein 31
KLHL35	Kelch-like protein 35
KIAA0100	KIAA0100 protein
KLC1	Kinesin light chain 1
KIF13B	Kinesin-like protein
KIF26A	Kinesin-like protein
KIF5C	Kinesin-like protein
KIFC1	Kinesin-like protein
KIF14	Kinesin-like protein KIF14
KIF2A	Kinesin-like protein KIF2A
KIF3B	Kinesin-like protein KIF3B
KLF13	Krueppel-like factor 13
KLF3	Krueppel-like factor 3
KLF6	Krueppel-like factor 6
KLF8	Krueppel-like factor 8
KMO	Kynurenine 3-monooxygenase
AFMID	Kynurenine formamidase
B3GNT5	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase
ST3GAL5	Lactosylceramide alpha-2,3-sialyltransferase
GLO1	Lactoylglutathione lyase
CRYL1	Lambda-crystallin homolog
LMNB2	Lamin B2, isoform CRA a
LAMA5	Laminin subunit alpha-5
LAMB3	Laminin subunit beta-3
IL4I1	L-amino-acid oxidase
LANCL2	LanC-like protein 2
LARP4B	La-related protein 4B
LARP1B	La ribonucleoprotein domain family, member 2, isoform CRA d
LARP4	LARP4 protein
LTBP1	Latent-transforming growth factor beta-binding protein 1
ZFYVE28	Lateral-signaling target protein 2 homolog
LLGL1	Lethal(2) giant larvae protein homolog 1
LETM1	LETM1 and EF-hand domain-containing protein 1, mitochondrial
LRCH3	Leucine-rich repeat and calponin homology domain-containing protein 3
LRFN4	Leucine-rich repeat and fibronectin type-III domain-containing protein 4
LINGO4	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 4
LRRFIP1	Leucine-rich repeat flightless-interacting protein 1
LRIG1	Leucine-rich repeats and immunoglobulin-like domains protein 1
LSMEM1	Leucine-rich single-pass membrane protein 1
DLEU1	Leukemia-associated protein 1
LIF	Leukemia inhibitory factor
LILRB3	Leukocyte immunoglobulin-like receptor subfamily B member 3
LST1	Leukocyte specific transcript 1, isoform CRA c
LNX2	Ligand of Numb protein X 2
LASP1	LIM and SH3 domain protein 1
LMBR1	Limb region 1 protein homolog
LIMD1	LIM domain-containing protein 1
LIMK1	LIM domain kinase 1
LMO4	LIM domain transcription factor LMO4
LMF2	Lipase maturation factor 2
LPP	Lipoma-preferred partner
LRBA	Lipopolysaccharide-responsive and beige-like anchor protein
ARMC9	LisH domain-containing protein ARMC9
LDHA	L-lactate dehydrogenase A chain
ACSL4	Long-chain-fatty-acid--CoA ligase 4
LDLRAD4	Low-density lipoprotein receptor class A domain-containing protein 4
LRP12	Low-density lipoprotein receptor-related protein 12
LRP8	Low-density lipoprotein receptor-related protein 8
LUC7L	LUC7-like (S. cerevisiae)
LTA	Lymphotoxin-alpha
LTB	Lymphotoxin-beta
LYRM2	LYR motif-containing protein 2
KDM6B	Lysine-specific demethylase 6B
LPCAT1	Lysophosphatidylcholine acyltransferase 1
LPCAT3	Lysophospholipid acyltransferase 5
MBOAT7	Lysophospholipid acyltransferase 7
LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase
MAN2B1	Lysosomal alpha-mannosidase
PRCP	Lysosomal Pro-X carboxypeptidase
LYST	Lysosomal-trafficking regulator
LOXL1	Lysyl oxidase homolog 1
DCPS	m7GpppX diphosphatase
CSF1	Macrophage colony-stimulating factor 1
MAEA	Macrophage erythroblast attacher
NIPAL4	Magnesium transporter NIPA4
MPP6	MAGUK p55 subfamily member 6
MFSD10	Major facilitator superfamily domain-containing protein 10
MFSD12	Major facilitator superfamily domain-containing protein 12
MVP	Major vault protein
MDH1	Malate dehydrogenase, cytoplasmic
MSL1	Male-specific lethal 1 homolog
MFHAS1	Malignant fibrous histiocytoma-amplified sequence 1
MLYCD	Malonyl-CoA decarboxylase, mitochondrial
MPDU1	Mannose-P-dolichol utilization defect 1 protein
MOGS	Mannosyl-oligosaccharide glucosidase
MAPKAPK5	MAP kinase-activated protein kinase 5
MKNK1	MAP kinase-interacting serine/threonine-protein kinase 1
MAPK1IP1L	MAPK-interacting and spindle-stabilizing protein-like
SPG21	Maspardin
MAML2	Mastermind-like protein 2
MXRA8	Matrix-remodeling-associated protein 8
MNT	Max-binding protein MNT
MXD1	Max dimerization protein 1
MED1	Mediator of RNA polymerase II transcription subunit 1
MED12L	Mediator of RNA polymerase II transcription subunit 12-like protein
MED14	Mediator of RNA polymerase II transcription subunit 14
MED15	Mediator of RNA polymerase II transcription subunit 15
MED7	Mediator of RNA polymerase II transcription subunit 7
REC8	Meiotic recombination protein REC8 homolog
MLANA	Melanoma antigen recognized by T-cells 1
MREG	Melanoregulin
MFI2	Melanotransferrin
PGRMC1	Membrane-associated progesterone receptor component 1
MMGT1	Membrane magnesium transporter 1
MIER2	Mesoderm induction early response protein 2
TIMP1	Metalloproteinase inhibitor 1
MTF1	Metal regulatory transcription factor 1
CNNM4	Metal transporter CNNM4
MACC1	Metastasis-associated in colon cancer protein 1
METRNL	Meteorin-like protein
METAP2	Methionine aminopeptidase 2
MTRR	Methionine synthase reductase
MTFMT	Methionyl-tRNA formyltransferase, mitochondrial
MGMT	Methylated-DNA--protein-cysteine methyltransferase
TET2	Methylcytosine dioxygenase TET2
AUH	Methylglutaconyl-CoA hydratase, mitochondrial
METTL13	Methyltransferase-like protein 13
METTL2B	Methyltransferase-like protein 2B
RFX1	MHC class II regulatory factor RFX1
MICB	MHC class I polypeptide-related sequence B
MICALCL	MICAL C-terminal-like protein
CHCHD3	MICOS complex subunit
IMMT	MICOS complex subunit MIC60
MAP1S	Microtubule-associated protein 1S
MAP4	Microtubule-associated protein 4
MAP1LC3A	Microtubule-associated proteins 1A/1B light chain 3A
MAST2	Microtubule-associated serine/threonine-protein kinase 2
MAST3	Microtubule-associated serine/threonine-protein kinase 3
MAST4	Microtubule-associated serine/threonine-protein kinase 4
MIIP	Migration and invasion-inhibitory protein
MIPOL1	Mirror-image polydactyly gene 1 protein
MIS18BP1	Mis18-binding protein 1
MCUR1	Mitochondrial calcium uniporter regulator 1
SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein
MTCH2	Mitochondrial carrier homolog 2
MIEF1	Mitochondrial dynamics protein MID51
SLC25A32	Mitochondrial folate transporter/carrier
SLC25A22	Mitochondrial glutamate carrier 1
TIMM50	Mitochondrial import inner membrane translocase subunit TIM50
TOMM40	Mitochondrial import receptor subunit TOM40 homolog
TOMM5	Mitochondrial import receptor subunit TOM5 homolog
IMMP2L	Mitochondrial inner membrane protease subunit 2
CHCHD4	Mitochondrial intermembrane space import and assembly protein 40
PMPCA	Mitochondrial-processing peptidase subunit alpha
TRMT10C	Mitochondrial ribonuclease P protein 1
MFN1	Mitofusin-1
MFN2	Mitofusin-2
MAPK11	Mitogen-activated protein kinase 11
MAPK13	Mitogen-activated protein kinase 13
MAPK6	Mitogen-activated protein kinase 6
MAPK9	Mitogen-activated protein kinase 9
MAP3K1	Mitogen-activated protein kinase kinase kinase 1
MAP3K10	Mitogen-activated protein kinase kinase kinase 10
MAP3K2	Mitogen-activated protein kinase kinase kinase 2
MAP3K4	Mitogen-activated protein kinase kinase kinase 4
MAP3K6	Mitogen-activated protein kinase kinase kinase 6
MAP3K8	Mitogen-activated protein kinase kinase kinase 8
MAP4K5	Mitogen-activated protein kinase kinase kinase kinase
BUB3	Mitotic checkpoint protein BUB3
MAD2L2	Mitotic spindle assembly checkpoint protein MAD2B
MLKL	Mixed lineage kinase domain-like protein
MMS19	MMS19 nucleotide excision repair protein homolog
SLC16A7	Monocarboxylate transporter 2
SLC16A3	Monocarboxylate transporter 4
SLC16A2	Monocarboxylate transporter 8
MTHFD1L	Monofunctional C1-tetrahydrofolate synthase, mitochondrial
MGLL	Monoglyceride lipase
SMAD3	Mothers against decapentaplegic homolog 3
SMAD7	Mothers against decapentaplegic homolog 7
MOSPD2	Motile sperm domain-containing protein 2
CDC25B	M-phase inducer phosphatase 2
MPHOSPH6	M-phase phosphoprotein 6
MPV17L	Mpv17-like protein
MRTO4	mRNA turnover protein 4 homolog
SPEN	Msx2-interacting protein
MUC1	Mucin-1
MCOLN2	Mucolipin-2
ABCC4	Multidrug resistance-associated protein 4
MSC	Musculin
MYBBP1A	Myb-binding protein 1A
MSANTD3	Myb/SANT-like DNA-binding domain-containing protein 3
MSANTD4	Myb/SANT-like DNA-binding domain-containing protein 4
BIN1	Myc box-dependent-interacting protein 1
MBP	Myelin basic protein
MPZL3	Myelin protein zero-like protein 3
MYADM	Myeloid-associated differentiation marker
MYOF	Myoferlin
MPRIP	Myosin phosphatase Rho-interacting protein
AGA	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase
METTL3	N6-adenosine-methyltransferase 70 kDa subunit
METTL14	N6-adenosine-methyltransferase subunit METTL14
NACAD	NAC-alpha domain-containing protein 1
NAT8L	N-acetylaspartate synthetase
GALNS	N-acetylgalactosamine-6-sulfatase
NLRP3	NACHT, LRR and PYD domains-containing protein 3
NANP	N-acylneuraminate-9-phosphatase
SIRT7	NAD-dependent protein deacetylase sirtuin-7
NDUFA11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
NDUFA6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
NDUFB2	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial
NDUFB8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial
MT-ND4	NADH-ubiquinone oxidoreductase chain 4
APOA1BP	NAD(P)H-hydrate epimerase
NAA10	N-alpha-acetyltransferase 10
NAA35	N-alpha-acetyltransferase 35, NatC auxiliary subunit
NAA50	N-alpha-acetyltransferase 50
NANOS1	Nanos homolog 1
NANOS3	Nanos homolog 3
NCR3	Natural cytotoxicity triggering receptor 3
CHN1	N-chimaerin
NCKAP1L	Nck-associated protein 1-like
PVRL1	Nectin-1
N4BP1	NEDD4-binding protein 1
N4BP3	NEDD4-binding protein 3
NDFIP1	NEDD4 family-interacting protein 1
UBA3	NEDD8-activating enzyme E1 catalytic subunit
UBE2M	NEDD8-conjugating enzyme Ubc12
UBE2F	NEDD8-conjugating enzyme UBE2F
NEO1	Neogenin
SYNE3	Nesprin-3
NTN1	Netrin-1
NTN4	Netrin-4
L1CAM	Neural cell adhesion molecule L1
NPDC1	Neural proliferation differentiation and control protein 1
AHNAK	Neuroblast differentiation-associated protein AHNAK
NCS1	Neuronal calcium sensor 1
NPTX2	Neuronal pentraxin-2
NNAT	Neuronatin
C4orf48	Neuropeptide-like protein C4orf48
NETO2	Neuropilin and tolloid-like protein 2
NPTN	Neuroplastin
PRSS12	Neurotrypsin
NCF4	Neutrophil cytosol factor 4
NFKBIA	NF-kappa-B inhibitor alpha
NFKBIB	NF-kappa-B inhibitor beta
NFKBIZ	NF-kappa-B inhibitor zeta
NAB1	NGFI-A binding protein 1 (EGR1 binding protein 1), isoform CRA b
OGG1	N-glycosylase/DNA lyase
NAMPT	Nicotinamide phosphoribosyltransferase
NINJ1	Ninjurin-1
NIPAL3	NIPA-like protein 3
NIT1	Nitrilase homolog 1
ULBP2	NKG2D ligand 2
NLRX1	NLR family member X1
SETD6	N-lysine methyltransferase SETD6
OLFM2	Noelin-2
PAPD7	Non-canonical poly(A) RNA polymerase PAPD7
PAK3	Non-specific serine/threonine protein kinase
NOTCH2NL	Notch homolog 2 N-terminal-like protein
SP140	Nuclear body protein SP140
NCBP1	Nuclear cap-binding protein subunit 1
NCBP2	Nuclear cap binding protein subunit 2, 20kDa, isoform CRA a
NDEL1	Nuclear distribution protein nudE-like 1
NEMF	Nuclear export mediator factor NEMF
NFE2L2	Nuclear factor erythroid 2-related factor 2
NFIL3	Nuclear factor interleukin-3-regulated protein
NFATC2	Nuclear factor of activated T-cells, cytoplasmic 2
NUFIP2	Nuclear fragile X mental retardation-interacting protein 2
NPIPA1	Nuclear pore complex-interacting protein family member A1
NPIPB11	Nuclear pore complex-interacting protein family member B11
NPIPB15	Nuclear pore complex-interacting protein family member B15
NUP50	Nuclear pore complex protein Nup50
NUP88	Nuclear pore complex protein Nup88
NUP62	Nuclear pore glycoprotein p62
NRBF2	Nuclear receptor-binding factor 2
NRBP1	Nuclear receptor-binding protein
NRBP2	Nuclear receptor-binding protein 2
NCOA7	Nuclear receptor coactivator 7
RORA	Nuclear receptor ROR-alpha
RORC	Nuclear receptor ROR-gamma
NR6A1	Nuclear receptor subfamily 6 group A member 1
NFYB	Nuclear transcription factor Y subunit beta
NUTF2	Nuclear transport factor 2
EXOG	Nuclease EXOG, mitochondrial
NOLC1	Nucleolar and coiled-body phosphoprotein 1
NUSAP1	Nucleolar and spindle-associated protein 1
NOC3L	Nucleolar complex protein 3 homolog
GTPBP4	Nucleolar GTP-binding protein 1
URB1	Nucleolar pre-ribosomal-associated protein 1
NOP14	Nucleolar protein 14
NOP16	Nucleolar protein 16
DDX21	Nucleolar RNA helicase 2
NCL	Nucleolin
TIA1	Nucleolysin TIA-1 isoform p40
NUPL2	Nucleoporin-like protein 2
NUP188	Nucleoporin NUP188 homolog
NME6	Nucleoside diphosphate kinase
NUDT19	Nucleoside diphosphate-linked moiety X motif 19
NUDT8	Nucleoside diphosphate-linked moiety X motif 8
SIL1	Nucleotide exchange factor SIL1
NACC1	Nucleus accumbens-associated protein 1
OLA1	Obg-like ATPase 1
OCEL1	Occludin/ELL domain-containing protein 1
OSM	Oncostatin-M
OGFR	Opioid growth factor receptor
OGFRL1	Opioid growth factor receptor-like protein 1
OPN3	Opsin-3
OPA3	Optic atrophy 3 protein
SLC51A	Organic solute transporter subunit alpha
OAZ1	Ornithine decarboxylase antizyme 1
OTUD4	OTU domain-containing protein 4
OTUD5	OTU domain-containing protein 5
OTUD6B	OTU domain-containing protein 6B
OAF	Out at first protein homolog
GPR68	Ovarian cancer G-protein-coupled receptor 1
OVOL1	Ovo-like 1(Drosophila)
CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial
OSBPL8	Oxysterol-binding protein
OSBPL7	Oxysterol-binding protein-related protein 7
P2RX4	P2X purinoceptor 4
TRIP13	Pachytene checkpoint protein 2 homolog
PAX2	Paired box protein Pax-2
PILRB	Paired immunoglobulin-like type 2 receptor beta
PRRX2	Paired mesoderm homeobox protein 2
ZDHHC18	Palmitoyltransferase
ZDHHC8	Palmitoyltransferase
ZDHHC17	Palmitoyltransferase ZDHHC17
PANK3	Pantothenate kinase 3
PANK4	Pantothenate kinase 4
PAPLN	Papilin
PNMA1	Paraneoplastic antigen Ma1
PNMA3	Paraneoplastic antigen Ma3
PALB2	Partner and localizer of BRCA2
PCID2	PCI domain-containing protein 2
PPIA	Peptidyl-prolyl cis-trans isomerase
PPIF	Peptidyl-prolyl cis-trans isomerase
PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
PLIN3	Perilipin-3
BZRAP1	Peripheral-type benzodiazepine receptor-associated protein 1
PRDX1	Peroxiredoxin-1
ACOX3	Peroxisomal acyl-coenzyme A oxidase 3
PAOX	Peroxisomal N(1)-acetyl-spermine/spermidine oxidase
PEX26	Peroxisome assembly protein 26
PEX2	Peroxisome biogenesis factor 2
PPARG	Peroxisome proliferator-activated receptor gamma
GIGYF2	PERQ amino acid-rich with GYF domain-containing protein 2
PES1	Pescadillo homolog
PSD4	PH and SEC7 domain-containing protein 4
PHF5A	PHD finger-like domain-containing protein 5A
PHF19	PHD finger protein 19
PHF21A	PHD finger protein 21A
